autofahrplan,truck_schedule
zugfahrplan,train_schedule
schifffahrplan,ship_schedule
airfahrplan,airplane_schedule
monorailfahrplan,monorail_schedule
tramfahrplan,tram_schedule
maglevfahrplan,maglev_schedule
narrowgaugefahrplan,narrowgauge_schedule
fpl,schedule
ist_abgeschlossen,is_editing_finished
abgeschlossen,editing_finished
eingabe_abschliessen,finish_editing
eingabe_beginnen,start_editing
ladegrad,minimum_loading
aktuell\\>,current_stop
fehlermeldung,get_error_msg
anzahl_staedte,city_count
einwohnerzahl,citizen_count
linieneintrag,schedule_entry
current_eintrag,current_entry
dummy_eintrag,dummy_entry
eintrag\\>,entries
mittlere_,mean_
zustand,state
neue_karte,new_world
\\<fahrplan\\>,schedule
fahrplan_gui_,schedule_gui_
tool_fahrplan_,tool_schedule_
groesse_x,size_x
groesse_y,size_y
groesse\\>,size
karte_nummer,map_number
nummer\\>,map_number
verkehr_level,traffic_level
position_bei,at
FAHRPLANEINGABE,EDIT_SCHEDULE
fahrplan_gui,schedule_gui
fahrplaneingabe,open_schedule_editor
fahrplan_h,schedule_h
fahrplan_t,schedule_t
set_fahrplan,set_schedule
fahrplan_index,schedule_index
ist_halt_erlaubt,is_stop_allowed
